alpha2,2015,2016,2017,2018,2019,2020,2021
GN,0.0003074443516269044,0.0003477735582082578,0.000583718879823029,0.0005798699359490444,0.0005862965889149815,0.0005862965889149815,0.0005862965889149815
GM,0.00011287459561400146,0.00012019773816791373,0.00011801423461266234,0.00011736930798029497,0.00011877371717295489,0.00011877371717295489,0.00011877371717295489
GW,2.0172874449734173e-05,2.0268654754975603e-05,1.9309556822571176e-05,1.9117245526964404e-05,1.9256184038839198e-05,1.9256184038839198e-05,1.9256184038839198e-05
GQ,8.170869930664162e-05,8.735990793095662e-05,8.898894415955912e-05,8.913126551267669e-05,9.074665558503747e-05,9.074665558503747e-05,9.074665558503747e-05
GR,0.0023718857233961618,0.0022507044399641537,0.0020389346251512494,0.002031839385353861,0.002068178255617802,0.002068178255617802,0.002068178255617802
GD,1.934179121585633e-05,1.8618939046908148e-05,1.7600366422056154e-05,1.7084817767606196e-05,1.6874103819220383e-05,1.6874103819220383e-05,1.6874103819220383e-05
GL,1.2440779734426143e-05,1.1635484019822231e-05,1.0488366325674646e-05,1.0101294179794904e-05,9.96360477698761e-06,9.96360477698761e-06,9.96360477698761e-06
GT,0.001470703651694601,0.0016512534852378938,0.002810038221469432,0.002757308202132431,0.0027525698806070476,0.0027525698806070476,0.0027525698806070476
GU,3.882422694672251e-05,3.793710748742459e-05,3.554065387460707e-05,3.4630716029761306e-05,3.434926977501259e-05,3.434926977501259e-05,3.434926977501259e-05
GY,8.557480706257076e-05,8.315758967099719e-05,7.775837529266935e-05,7.545430690180265e-05,7.45165381001902e-05,7.45165381001902e-05,7.45165381001902e-05
HK,0.0020313617865058767,0.001940263432738495,0.0017761171537338317,0.0017288787543795563,0.0017566125410868236,0.0017566125410868236,0.0017566125410868236
HN,0.0008099417113230312,0.0008267973110373794,0.0008032264864831818,0.0007886800540722714,0.0007879569217306252,0.0007879569217306252,0.0007879569217306252
HR,0.000962329090377043,0.000917417666125477,0.0007436781486501518,0.0007710755436918873,0.0008203604523233988,0.0008203604523233988,0.0008203604523233988
HT,0.0004278660744727529,0.0004008731019991105,0.0003637760676298466,0.0009373342098007316,0.0009328226485512399,0.0009328226485512399,0.0009328226485512399
HU,0.0023512248527495392,0.002351570013114714,0.0020187669667933675,0.0019298145697723482,0.0020026591681506526,0.0020026591681506526,0.0020026591681506526
ID,0.01862267639668909,0.02012172547379455,0.022965610493383807,0.027635728697638626,0.03291646611724867,0.03291646611724867,0.03291646611724867
IM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0.07304623674103272,0.08809227974927146,0.12392863296550158,0.12092034979036777,0.12005612299168762,0.12005612299168762,0.12005612299168762
IE,0.001287553219852723,0.001222128338643057,0.0010866507533118907,0.0010675692870575392,0.0010652137810735526,0.0010652137810735526,0.0010652137810735526
IR,0.011670442204575377,0.012802863489763462,0.013884309946051353,0.014859922078022024,0.01480353876436533,0.01480353876436533,0.01480353876436533
IQ,0.006766538716423382,0.0023497263217500744,0.004981151831886713,0.0049229048150762214,0.004948657413330948,0.004948657413330948,0.004948657413330948
IS,0.00010654272209146512,9.962354008509633e-05,9.067541978584256e-05,9.062541028767868e-05,9.12386029175182e-05,9.12386029175182e-05,9.12386029175182e-05
IL,0.0021259273402137392,0.0020579064711459217,0.0019102283249155096,0.0018805080414234878,0.002003907560226445,0.002003907560226445,0.002003907560226445
IT,0.011580365755438037,0.011239896371670666,0.010261348247740689,0.011663443908383619,0.011439534723679777,0.011439534723679777,0.011439534723679777
JM,0.00040032151009324865,0.00038980761908476635,0.00043226877158955205,0.00041942422268775994,0.00041410627197102125,0.00041410627197102125,0.00041410627197102125
JO,0.001826942459566518,0.001799009778072402,0.001755205808919265,0.00172557557074858,0.0017207556131754438,0.0017207556131754438,0.0017207556131754438
JP,0.0379691467368615,0.0357750543264131,0.028819895337957358,0.027773774864557163,0.02723978075639174,0.02723978075639174,0.02723978075639174
KZ,0.004075142470986361,0.004012381373609537,0.003704594020080659,0.003742197347889647,0.003866119853559648,0.003866119853559648,0.003866119853559648
KE,0.002604699124900909,0.002461626107004967,0.002405928248455388,0.0023774969953857038,0.003025656714668969,0.003025656714668969,0.003025656714668969
KG,0.0005909214070269042,0.000680032468064496,0.0006329387813544241,0.0006234882352006211,0.0006257764987094859,0.0006257764987094859,0.0006257764987094859
KH,0.00032748045419319293,0.0015442391492111113,0.0013959220584623085,0.0016867207195657124,0.0016819038186952815,0.0016819038186952815,0.0016819038186952815
KI,4.72863667719838e-06,4.660427871601745e-06,4.473320477612422e-06,4.383602346891471e-06,4.3737324044005724e-06,4.3737324044005724e-06,4.3737324044005724e-06
KN,1.271238027515497e-05,1.1989886577935605e-05,1.1286124914737755e-05,1.0982716281203776e-05,1.0875607044234053e-05,1.0875607044234053e-05,1.0875607044234053e-05
KR,0.01504126070837245,0.01437573876622267,0.01312183133670089,0.012842561535755562,0.012681253064697204,0.012681253064697204,0.012681253064697204
KW,0.0009057156972599819,0.0009374493902517335,0.0010899863789457119,0.0010693326640449662,0.0010680758329398268,0.0010680758329398268,0.0010680758329398268
LA,0.00040237722222885157,0.0004526223237972986,0.00047665506043932014,0.0004674658440497798,0.0004664606396898651,0.0004664606396898651,0.0004664606396898651
LB,0.0015854409786925994,0.0015441761937205968,0.0014311303000710202,0.0013894974124868404,0.0013669868304015433,0.0013669868304015433,0.0013669868304015433
LR,0.00048402208464883137,0.00010149087659138653,0.00010089342027645743,9.984738902484544e-05,0.00010054355922361448,0.00010054355922361448,0.00010054355922361448
LY,0.00040028525040178775,0.00039787845784004675,0.0003847894330096106,0.0003770990560379346,0.00037611008496434527,0.00037611008496434527,0.00037611008496434527
LC,2.4985630219953754e-05,2.5431846021933517e-05,2.4710227914167854e-05,2.3984755537248327e-05,2.3689596528498923e-05,2.3689596528498923e-05,2.3689596528498923e-05
LI,1.1876079999873734e-05,1.1167586222633035e-05,9.964908871008598e-06,9.650682182578543e-06,9.512206919831848e-06,9.512206919831848e-06,9.512206919831848e-06
LK,0.0008321678019388235,0.0010512384157396154,0.001965812337218639,0.0019183059183662335,0.0018969312027402499,0.0018969312027402499,0.0018969312027402499
LS,0.0001688215533914918,0.00017163049896371232,0.00016298593103902212,0.00015864669178565426,0.00015718941331598768,0.00015718941331598768,0.00015718941331598768
LT,0.0006800238801117694,0.0006449269247729679,0.0005899309125218955,0.0005795807712609847,0.0005798532108449974,0.0005798532108449974,0.0005798532108449974
LU,0.0001800474852001207,0.00017267320227551896,0.00015602618844422415,0.00015312608831772104,0.00015345340509348679,0.00015345340509348679,0.00015345340509348679
LV,0.0005136626652489011,0.00047298294506420137,0.00041814428490455347,0.0004179688988132215,0.0004202046331829998,0.0004202046331829998,0.0004202046331829998
MO,0.0001532311975925041,0.00015125971771459096,0.0001391551511551667,0.00013734584863775028,0.000141236954099449,0.000141236954099449,0.000141236954099449
MA,0.0064891045876056454,0.006187944076780129,0.005905504704421171,0.006058850501980698,0.006918357343466781,0.006918357343466781,0.006918357343466781
MC,1.1549201466717237e-05,1.0957646682773024e-05,1.0012954104402115e-05,9.742111745847089e-06,9.64459712672027e-06,9.64459712672027e-06,9.64459712672027e-06
MD,0.0006414417975086254,0.0006014685029377705,0.000563616224910255,0.0005345586128071639,0.0005159786199054241,0.0005159786199054241,0.0005159786199054241
MG,0.0003317440262722797,0.0003547477336014947,0.000673408353598883,0.0006678749890529463,0.0006740738115707963,0.0006740738115707963,0.0006740738115707963
MV,8.125516009821971e-05,8.494846879056369e-05,8.428782514120287e-05,8.455665334997897e-05,8.556309236254136e-05,8.556309236254136e-05,8.556309236254136e-05
MX,0.022952418354108817,0.022199972129666855,0.021410364299965498,0.021538124549697165,0.022798720138951525,0.022798720138951525,0.022798720138951525
MH,3.6324116965526384e-06,5.199213613196926e-06,6.038082276894014e-06,5.8663661307835335e-06,5.802923838636187e-06,5.802923838636187e-06,5.802923838636187e-06
MK,0.0004799550943974836,0.0004538958231667484,0.0004169141272692571,0.00042792170113519325,0.00042067347297082715,0.00042067347297082715,0.00042067347297082715
ML,0.0005908040692580176,0.0006035283887914412,0.0006467232306750704,0.0006435827003170605,0.000651770890296602,0.000651770890296602,0.000651770890296602
MT,0.00011087248876753081,0.00010747901416016267,0.00010188406570783439,0.00010237324285975137,0.00010996610046503904,0.00010996610046503904,0.00010996610046503904
MM,0.003753657438187296,0.004020849916013878,0.00440090472191312,0.0042757004402921754,0.004228636582346798,0.004228636582346798,0.004228636582346798
ME,0.00013899545015233264,0.0001314694349276185,0.00011920213715418572,0.00011547691797888925,0.00011658623179091547,0.00011658623179091547,0.00011658623179091547
MN,0.00022126098604951974,0.00020573241805915945,0.0001984315017626207,0.00019508922749783157,0.00042015998414068363,0.00042015998414068363,0.00042015998414068363
MP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MZ,0.0015018020058189356,0.0014741314436243038,0.0007698783338454104,0.0007654164416216576,0.0007744612531093299,0.0007744612531093299,0.0007744612531093299
MR,0.00020169873111865942,0.00022656597130377444,0.00023938757990209193,0.00023768380155597246,0.00024009393204801077,0.00024009393204801077,0.00024009393204801077
MU,0.00020762176498007184,0.0001993536271454088,0.00018828035816667677,0.00019239740593675377,0.0002065976807515479,0.0002065976807515479,0.0002065976807515479
MW,0.00029106902244702506,0.0005966030256031264,0.0006544462926847753,0.0006488889976173402,0.0006548077100570801,0.0006548077100570801,0.0006548077100570801
MY,0.0070551067678119765,0.007308784302332543,0.006698771570722407,0.0066436206056233555,0.006862140306236234,0.006862140306236234,0.006862140306236234
NA,0.00019502428512243952,0.00022122763341460622,0.0003292795164632799,0.00032401271111077507,0.0003244669746016887,0.0003244669746016887,0.0003244669746016887
NC,6.611142132554051e-05,6.186941477033704e-05,6.178138704262653e-05,6.044910486969538e-05,6.0193133376319115e-05,6.0193133376319115e-05,6.0193133376319115e-05
NE,0.00016243605748846732,0.00027167607910360376,0.0005935394079076948,0.00030578414311897785,0.0003121526472096498,0.0003121526472096498,0.0003121526472096498
NG,0.02138640825041222,0.014431322856125544,0.021543041681081468,0.021348282699724892,0.021526740829319428,0.021526740829319428,0.021526740829319428
NI,0.0004021653673016802,0.00046828629385590315,0.00047806994109548216,0.00046748328378121883,0.0004651386486858937,0.0004651386486858937,0.0004651386486858937
NL,0.005095912924138343,0.004654831771529969,0.004290481897501886,0.004235131479272074,0.004123919186955671,0.004123919186955671,0.004123919186955671
NO,0.001647401475158771,0.0015397196353326705,0.0013664160643911713,0.001330075759081947,0.0013366589807458588,0.0013366589807458588,0.0013366589807458588
NP,0.0015577256556781566,0.0016226437406052063,0.002524219504704155,0.002478180644864667,0.0024807830415501326,0.0024807830415501326,0.0024807830415501326
NR,2.2093342310190806e-06,2.130252347796093e-06,1.9722789879447817e-06,1.8791028990293914e-06,1.8289490615304656e-06,1.8289490615304656e-06,1.8289490615304656e-06
NZ,0.0013297197147233116,0.0012552381575051653,0.0011698776149581683,0.0011407992862693696,0.0011388085959329617,0.0011388085959329617,0.0011388085959329617
OM,0.0010290814129407953,0.0010405914037749531,0.00100542016632761,0.0010049217516999583,0.0011725055461418857,0.0011725055461418857,0.0011725055461418857
PK,0.00915670074096005,0.007624406930891994,0.008665066269494313,0.008541283929340324,0.0094288107249922,0.0094288107249922,0.0094288107249922
PA,0.0006664503991517821,0.0006590539418910228,0.0006386011830962621,0.0006271958850226586,0.0006891083057095672,0.0006891083057095672,0.0006891083057095672
PE,0.0040825331985923355,0.004250401286456755,0.004117460440765226,0.004361460157688631,0.004970812966521302,0.004970812966521302,0.004970812966521302
PH,0.01205623057907326,0.017393248489283926,0.01697327319243454,0.016620788884725044,0.011864271080469849,0.011864271080469849,0.011864271080469849
PW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,0.00021006605844981182,0.00024010371644993768,0.0002541722631993921,0.0002503382016454069,0.00025089281176691726,0.00025089281176691726,0.00025089281176691726
PL,0.008471203873572558,0.008414140816207805,0.007754226290991257,0.007641268554807164,0.00818471741178281,0.00818471741178281,0.00818471741178281
PR,0.0007229851871243282,0.0007069548852988472,0.0006308604637363226,0.0005850245208605655,0.0005772895245882243,0.0005772895245882243,0.0005772895245882243
KP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.00233151680701173,0.002198302004429668,0.002042523072408419,0.001992432307614231,0.0019734216480499505,0.0019734216480499505,0.0019734216480499505
PY,0.0010906940189705156,0.0010942788996764576,0.0011270745855868052,0.0011731921624372286,0.001231040361342966,0.001231040361342966,0.001231040361342966
PS,0.0008041911566374403,0.0008077000685046429,0.0007805285952340493,0.0007635729180732789,0.0008439044061550459,0.0008439044061550459,0.0008439044061550459
PF,5.782981975606092e-05,5.681115163279899e-05,5.394377779489975e-05,5.2388500322337834e-05,5.1786912687373684e-05,5.1786912687373684e-05,5.1786912687373684e-05
QA,0.0007815905945499889,0.0007633355284433476,0.0007130895234636117,0.0007193353898573421,0.0007197880320269702,0.0007197880320269702,0.0007197880320269702
RO,0.0036239514683063883,0.003544234289209952,0.0033554337818928613,0.003571597140528436,0.0036362721985609644,0.0036362721985609644,0.0036362721985609644
RU,0.03312833984696329,0.03189482710044267,0.02951416152399539,0.030317647682888568,0.030429936932267365,0.030429936932267365,0.030429936932267365
RW,0.0006711577217150656,0.0007055323365350917,0.0007008318926710296,0.0006948952440200814,0.0007010041693582878,0.0007010041693582878,0.0007010041693582878
SA,0.0072416687642446655,0.00734407519015162,0.007304294357394522,0.008160046415636913,0.008366254193678773,0.008366254193678773,0.008366254193678773
SD,0.00339511521539823,0.0016985549436918136,0.0033857595121429425,0.0033486386140905568,0.0033707808435388914,0.0033707808435388914,0.0033707808435388914
SN,0.0012909293989662603,0.0011633269278656347,0.0019060631953056822,0.0018925256260768242,0.0019118778436870243,0.0019118778436870243,0.0019118778436870243
SG,0.0014343113698558633,0.0014316076781468424,0.001273640461865555,0.0012900648129194896,0.0012939003387016951,0.0012939003387016951,0.0012939003387016951
SB,1.9781130664379174e-05,2.0600863356338728e-05,2.038096950533108e-05,2.0201480737565613e-05,2.0370462976247034e-05,2.0370462976247034e-05,2.0370462976247034e-05
SL,0.00014922930146667225,0.0002608493178836455,0.00018111143270189745,0.0001786684661203429,0.0001793427713693467,0.0001793427713693467,0.0001793427713693467
SV,0.0005559978041613291,0.0005571963813955691,0.0005805883512251206,0.0005635119996665725,0.0005566639092441463,0.0005566639092441463,0.0005566639092441463
SM,5.412372655399028e-06,5.0238700612276105e-06,5.445494455921295e-06,5.276281115648984e-06,5.197174836240841e-06,5.197174836240841e-06,5.197174836240841e-06
SO,7.963991107003521e-05,8.062431142527219e-05,7.856880426895148e-05,7.804966654652983e-05,7.893127979795044e-05,7.893127979795044e-05,7.893127979795044e-05
RS,0.0015199495737584538,0.001430883755818292,0.0013269307883553188,0.0013292788700790667,0.0013712526966427811,0.0013712526966427811,0.0013712526966427811
ST,1.6887998817472903e-05,1.72028142198999e-05,1.665688103930813e-05,1.6390772924707755e-05,1.64167537796507e-05,1.64167537796507e-05,1.64167537796507e-05
SR,7.841891919252325e-05,7.753082753453018e-05,7.503761841039798e-05,7.31573576289613e-05,7.257199930290551e-05,7.257199930290551e-05,7.257199930290551e-05
SK,0.0013809779151499983,0.001321263851786404,0.0011931004956316027,0.0011400769658476773,0.001152509319595183,0.001152509319595183,0.001152509319595183
SI,0.0004947066614844041,0.0004713323773261482,0.0004380473197293172,0.0004291928404335324,0.00044256368622034247,0.00044256368622034247,0.00044256368622034247
SE,0.0029120189547668534,0.002689437319154304,0.0025814303693341752,0.002432960142962146,0.002478771486315932,0.002478771486315932,0.002478771486315932
SZ,9.285008841313262e-05,9.622822072631648e-05,0.00014205860393171207,0.00013857485236270638,0.0001376260086467114,0.0001376260086467114,0.0001376260086467114
SC,1.662412934542896e-05,1.6175807737966225e-05,1.5136558237775894e-05,1.4756870663061557e-05,1.4632780286288044e-05,1.4632780286288044e-05,1.4632780286288044e-05
SY,0.0017695620703203538,0.001681628189060072,0.001571082153829919,0.001502751058162939,0.001491256102476272,0.001491256102476272,0.001491256102476272
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TD,0.00016197656105090277,0.00022011068809247867,0.0002623025403649622,0.0002610696783367138,0.00026436293563606437,0.00026436293563606437,0.00026436293563606437
TG,0.00017100369921733237,0.00025677919192182284,0.00025570706422684035,0.00025303922613607996,0.0002547860249174451,0.0002547860249174451,0.0002547860249174451
TH,0.008860250459958008,0.009905308157406856,0.009837158083452717,0.010236589196344603,0.01183576196964986,0.01183576196964986,0.01183576196964986
TJ,0.0005262438062621151,0.0005361363387697085,0.000524047836860168,0.000518619561484786,0.00052204419925123,0.00052204419925123,0.00052204419925123
TM,0.0002737242488905867,0.00030796181106486185,0.00032880513382671755,0.0003226546009603451,0.00032205505155338777,0.00032205505155338777,0.00032205505155338777
TL,9.0239311307714e-05,9.305985673781777e-05,9.185276363173513e-05,9.046118619351369e-05,9.0670806346898e-05,9.0670806346898e-05,9.0670806346898e-05
TO,1.2775263785803287e-05,1.2214332426568815e-05,1.1306142271620923e-05,1.1046191293622026e-05,1.0992923658207557e-05,1.0992923658207557e-05,1.0992923658207557e-05
TT,0.0003109913571637166,0.0003052512517680028,0.0002876055840266541,0.00027888924063269513,0.0002751081779667119,0.0002751081779667119,0.0002751081779667119
