Cloudflare,26.91%
Amazon,24.71%
Akamai,5.72%
NS1,3.20%
Google,2.95%
Alibaba Group,2.49%
Tencent,2.39%
Neustar UltraDNS,2.20%
GoDaddy Group,1.60%
DNS Made Easy,1.42%
Oracle Dyn,1.35%
RBC Group,0.90%
Microsoft,0.71%
CSC,0.64%
ClouDNS,0.57%
Namecheap,0.46%
ArvanCloud,0.41%
Automattic,0.39%
United Internet,0.33%
Verizon Group,0.30%
DNSimple,0.30%
Newfold Digital Group,0.29%
Internet Initiative Japan,0.29%
OVH,0.26%
Gandi,0.26%
DigitalOcean,0.23%
Hetzner,0.22%
IBM,0.22%
Yandex,0.21%
Asiatech,0.21%
team.blue,0.19%
GMO Internet Group,0.19%
Rackspace,0.19%
easyDNS Group,0.19%
Chunghwa Telecom,0.19%
Linode,0.16%
Aruba Group,0.16%
Name.com,0.16%
AT&T,0.14%
Tucows Group,0.13%
XServer,0.13%
XinNet,0.13%
MarkMonitor,0.13%
REG.RU,0.12%
Ezoic,0.12%
VNPT,0.12%
Hostinger,0.11%
Sakura,0.11%
Selectel,0.11%
DNS.com,0.09%
SiteGround,0.07%
InMotion,0.07%
Gabia,0.07%
Internet.BS,0.07%
PA Vietnam,0.06%
Choopa,0.06%
Liquid Web,0.06%
Hurricane Electric,0.06%
DDoS-Guard,0.06%
NetEase,0.06%
A2 Hosting,0.05%
MiroHost,0.05%
FastVPS,0.05%
Scaleway,0.05%
Sucuri,0.05%
DreamHost,0.04%
One.com,0.04%
NameSilo,0.04%
XBT Holding,0.04%
Hostiran,0.04%
Enartia Group,0.04%
Total Uptime,0.04%
Cisco,0.04%
Hosting Ukraine,0.02%
Netafraz,0.02%
Mihan,0.02%
Contabo,0.02%
Prom.ua,0.02%
Hoster.by,0.02%
Cafe24,0.02%
Visma Group,0.02%
Infomaniak,0.02%
Pair Networks,0.02%
Hivelocity,0.02%
StackPath,0.02%
Comodo,0.02%
Mail.Ru,0.02%
ironDNS,0.02%
Wix,0.01%
Squarespace,0.01%
Güzel Hosting,0.01%
Dreamscape Networks,0.01%
Aerotek,0.01%
Nhan Hoa,0.01%
Masterhost,0.01%
WPX Hosting,0.01%
DonWeb,0.01%
Webempresa,0.01%
cdmon,0.01%
Registro.br,0.01%
Zone Media,0.01%
SiteSell,0.01%
Hostwinds,0.01%
CSL,0.01%
Internet Thailand,0.01%
CtrlS,0.01%
Liberty Global Group,0.01%
VSHosting,0.01%
1984 Hosting,0.01%
WorldwideDNS,0.01%
Deninet,0.01%
