1.,Amazon,27.7%
2.,Google,9.7%
3.,Alibaba,4.8%
4.,China Telecom,3.4%
5.,Tencent,2.8%
6.,Salesforce,2.7%
7.,Microsoft,2.3%
8.,China Unicom,2.2%
9.,Verizon Group,1.6%
9.1.,    Verizon,1.2%
9.2.,    Yahoo,0.4%
9.3.,    Verizon Media,0.3%
10.,OVH,1.5%
11.,Automattic,1.4%
12.,Hetzner,1.0%
13.,Asiatech,0.9%
14.,IBM,0.5%
15.,NTT Group,0.5%
15.1.,    Netmagic,0.3%
15.2.,    NTT Communications,0.2%
16.,IDC Frontier,0.5%
17.,Oracle,0.4%
18.,GoDaddy Group,0.3%
18.1.,    GoDaddy,0.2%
18.2.,    PlusServer,0.1%
19.,Squarespace,0.3%
20.,Rackspace,0.3%
21.,LeaseWeb Group,0.3%
21.1.,    LeaseWeb,0.3%
22.,Chunghwa Telecom,0.3%
23.,CenturyLink,0.3%
24.,Pars Online,0.3%
25.,Hurricane Electric,0.3%
26.,Afranet,0.3%
27.,Neustar,0.3%
28.,Zenlayer,0.3%
29.,Baidu,0.3%
30.,China Mobile,0.3%
31.,Newfold Digital Group,0.2%
31.1.,    Newfold Digital,0.2%
32.,United Internet,0.2%
32.1.,    1&1 IONOS,0.2%
33.,RBC Group,0.2%
33.1.,    SpaceWeb,0.1%
33.2.,    RosBusinessConsulting,0.1%
34.,GitHub,0.2%
35.,SK Group,0.2%
35.1.,    SK Broadband,0.1%
35.2.,    SK Telecom,0.1%
36.,AT&T,0.2%
37.,Yandex,0.2%
38.,Cisco,0.2%
39.,DigitalOcean,0.1%
40.,Namecheap,0.1%
41.,Hostinger,0.1%
42.,REG.RU,0.1%
43.,DreamHost,0.1%
44.,Contabo,0.1%
45.,Choopa,0.1%
46.,Internap Group,0.1%
46.1.,    Internap,0.1%
47.,Weebly,0.1%
48.,VNPT,0.1%
49.,Hivelocity,0.1%
50.,Scaleway,0.1%
51.,Aruba Group,0.1%
51.1.,    Aruba,0.1%
52.,KT Group,0.1%
52.1.,    KT Corporation,0.1%
53.,Viettel,0.1%
54.,FPT,0.1%
55.,XBT Holding,0.1%
55.1.,    Webzilla,0.1%
56.,QuadraNet,0.1%
57.,Deutsche Telekom Group,0.1%
57.1.,    T-Systems,0.1%
58.,TierPoint,0.1%
59.,Faraso Samaneh Pasargad,0.1%
60.,Exabytes Group,0.1%
60.1.,    Exabytes,0.1%
61.,Pair Networks,0.1%
62.,KDDI Group,0.1%
62.1.,    KDDI Corporation,0.1%
63.,PS Internet Company,0.1%
64.,Hostiran,0.1%
65.,LG Group,0.1%
65.1.,    LG U+,0.1%
66.,Advanced Hosting,0.1%
67.,Psychz,0.1%
68.,Comcast,0.1%
69.,CSC,0.1%
70.,HKBN,0.1%
71.,Zoho,0.1%
72.,NetEase,0.1%
