1.,Amazon,27.4%
2.,Cloudflare,15.7%
3.,Akamai,10.6%
4.,NS1,7.7%
5.,Google,6.6%
6.,Neustar UltraDNS,5.9%
7.,Alibaba Group,3.9%
7.1.,    Alibaba,2.8%
7.2.,    HiChina,1.1%
8.,Tencent,3.7%
9.,Oracle Dyn,3.7%
10.,DNS Made Easy,1.2%
11.,RBC Group,1.0%
11.1.,    RU-Center,0.9%
11.2.,    RosBusinessConsulting,0.1%
12.,Microsoft,0.9%
13.,ClouDNS,0.8%
14.,Verizon Group,0.8%
14.1.,    Verizon,0.6%
14.2.,    Yahoo,0.2%
15.,GoDaddy Group,0.6%
15.1.,    GoDaddy,0.6%
16.,Automattic,0.6%
17.,CSC,0.6%
18.,ArvanCloud,0.4%
19.,IBM,0.4%
20.,Internet Initiative Japan,0.4%
21.,United Internet,0.3%
21.1.,    1&1 IONOS,0.2%
21.2.,    home.pl,0.1%
22.,Chunghwa Telecom,0.3%
23.,AT&T,0.3%
24.,Yandex,0.2%
25.,DNSimple,0.2%
26.,Cisco,0.2%
27.,Newfold Digital Group,0.1%
27.1.,    ResellerClub,0.1%
28.,Namecheap,0.1%
29.,Hostinger,0.1%
30.,Hetzner,0.1%
31.,PA Vietnam,0.1%
32.,Squarespace,0.1%
33.,Tucows Group,0.1%
33.1.,    eNom,0.1%
34.,Gandi,0.1%
35.,Aruba Group,0.1%
35.1.,    Aruba,0.1%
36.,Choopa,0.1%
37.,VNPT,0.1%
38.,Gabia,0.1%
39.,Asiatech,0.1%
40.,Mail.Ru,0.1%
41.,Total Uptime,0.1%
42.,NetEase,0.1%
