Amazon,27.7%
Google,9.7%
Alibaba,4.8%
China Telecom,3.4%
Tencent,2.8%
Salesforce,2.7%
Microsoft,2.3%
China Unicom,2.2%
Verizon Group,1.6%
OVH,1.5%
Automattic,1.4%
Hetzner,1.0%
Asiatech,0.9%
IBM,0.5%
NTT Group,0.5%
IDC Frontier,0.5%
Oracle,0.4%
GoDaddy Group,0.3%
Squarespace,0.3%
Rackspace,0.3%
LeaseWeb Group,0.3%
Chunghwa Telecom,0.3%
CenturyLink,0.3%
Pars Online,0.3%
Hurricane Electric,0.3%
Afranet,0.3%
Neustar,0.3%
Zenlayer,0.3%
Baidu,0.3%
China Mobile,0.3%
Newfold Digital Group,0.2%
United Internet,0.2%
RBC Group,0.2%
GitHub,0.2%
SK Group,0.2%
AT&T,0.2%
Yandex,0.2%
Cisco,0.2%
DigitalOcean,0.1%
Namecheap,0.1%
Hostinger,0.1%
REG.RU,0.1%
DreamHost,0.1%
Contabo,0.1%
Choopa,0.1%
Internap Group,0.1%
Weebly,0.1%
VNPT,0.1%
Hivelocity,0.1%
Scaleway,0.1%
Aruba Group,0.1%
KT Group,0.1%
Viettel,0.1%
FPT,0.1%
XBT Holding,0.1%
QuadraNet,0.1%
Deutsche Telekom Group,0.1%
TierPoint,0.1%
Faraso Samaneh Pasargad,0.1%
Exabytes Group,0.1%
Pair Networks,0.1%
KDDI Group,0.1%
PS Internet Company,0.1%
Hostiran,0.1%
LG Group,0.1%
Advanced Hosting,0.1%
Psychz,0.1%
Comcast,0.1%
CSC,0.1%
HKBN,0.1%
Zoho,0.1%
NetEase,0.1%
