1.,Amazon,26.7%
2.,Google,9.4%
3.,Zendesk,6.5%
4.,Alibaba,5.2%
5.,China Telecom,3.4%
6.,Tencent,2.8%
7.,Salesforce,2.7%
8.,Microsoft,2.4%
9.,WP Engine Group,2.2%
9.1.,    WP Engine,2.1%
9.2.,    Flywheel,0.1%
10.,China Unicom,2.2%
11.,Shopify,1.6%
12.,Verizon Group,1.6%
12.1.,    Verizon,1.2%
12.2.,    Yahoo,0.4%
12.3.,    Verizon Media,0.1%
13.,OVH,1.5%
14.,Automattic Group,1.4%
14.1.,    Automattic,1.3%
14.2.,    Tumblr,0.2%
15.,China Mobile,1.1%
16.,Hetzner,1.0%
17.,CenturyLink,1.0%
18.,Asiatech,0.9%
19.,Pantheon,0.9%
20.,Acquia,0.7%
21.,NTT Group,0.5%
21.1.,    Netmagic,0.3%
21.2.,    NTT Communications,0.2%
22.,IBM,0.5%
23.,IDC Frontier,0.5%
24.,GitHub,0.4%
25.,Vercel,0.4%
26.,Newfold Digital Group,0.3%
26.1.,    Newfold Digital,0.2%
26.2.,    HostGator,0.1%
26.3.,    TypePad,0.1%
27.,GoDaddy Group,0.3%
27.1.,    GoDaddy,0.2%
27.2.,    PlusServer,0.1%
28.,Squarespace,0.3%
29.,Webflow,0.3%
30.,Rackspace,0.3%
31.,Kinsta,0.3%
32.,HubSpot,0.3%
33.,LeaseWeb Group,0.3%
33.1.,    LeaseWeb,0.3%
34.,Chunghwa Telecom,0.3%
35.,KT Group,0.3%
35.1.,    KT Corporation,0.3%
36.,Pars Online,0.3%
37.,SK Group,0.3%
37.1.,    SK Broadband,0.2%
37.2.,    SK Telecom,0.1%
38.,Intercom,0.3%
39.,Hurricane Electric,0.3%
40.,Afranet,0.3%
41.,Oracle,0.3%
42.,Medium,0.3%
43.,Zenlayer,0.3%
44.,Baidu,0.3%
45.,Mail.Ru,0.3%
46.,United Internet,0.2%
46.1.,    1&1 IONOS,0.2%
47.,RBC Group,0.2%
47.1.,    SpaceWeb,0.1%
47.2.,    RosBusinessConsulting,0.1%
48.,Netlify,0.2%
49.,Heroku,0.2%
50.,LG Group,0.2%
50.1.,    LG U+,0.2%
51.,AT&T,0.2%
52.,Yandex,0.2%
53.,Comcast,0.2%
54.,Neustar,0.2%
55.,ServerStack,0.2%
56.,Cisco,0.2%
57.,Wikimedia,0.2%
58.,DigitalOcean,0.1%
59.,Wix,0.1%
60.,Namecheap,0.1%
61.,Hostinger,0.1%
62.,REG.RU,0.1%
63.,DreamHost,0.1%
64.,Contabo,0.1%
65.,Choopa,0.1%
66.,Weebly,0.1%
67.,Internap Group,0.1%
67.1.,    Internap,0.1%
68.,VNPT,0.1%
69.,Tilda,0.1%
70.,Hivelocity,0.1%
71.,Scaleway,0.1%
72.,Aruba Group,0.1%
72.1.,    Aruba,0.1%
73.,Viettel,0.1%
74.,FPT,0.1%
75.,XBT Holding,0.1%
75.1.,    Webzilla,0.1%
76.,Deutsche Telekom Group,0.1%
76.1.,    T-Systems,0.1%
77.,TierPoint,0.1%
78.,Exabytes Group,0.1%
78.1.,    Exabytes,0.1%
79.,QuadraNet,0.1%
80.,Faraso Samaneh Pasargad,0.1%
81.,Pair Networks,0.1%
82.,KDDI Group,0.1%
82.1.,    KDDI Corporation,0.1%
83.,Hostiran,0.1%
84.,PS Internet Company,0.1%
85.,Advanced Hosting,0.1%
86.,Psychz,0.1%
87.,UCloud,0.1%
88.,CSC,0.1%
89.,Platform.sh,0.1%
90.,HKBN,0.1%
91.,Zoho,0.1%
92.,NetSuite,0.1%
93.,Grupo GTD,0.1%
93.1.,    Gtd Teleductos,0.1%
94.,HopOne,0.1%
95.,Universo Online,0.1%
96.,Advania,0.1%
97.,NetEase,0.1%
98.,RackSRV,0.1%
99.,Hewlett-Packard,0.1%
100.,Apple,0.1%
