108.2.,    WestHost,0.01%
108.3.,    Midphase,0.01%
109.,CtrlS,0.06%
110.,Telia Company Group,0.06%
110.1.,    Telia Company,0.02%
110.2.,    Telia Latvija,0.02%
110.3.,    Telia Lietuva,0.01%
111.,Platform.sh,0.06%
112.,Claranet,0.06%
113.,NFOrce Entertainment,0.06%
114.,Cisco,0.06%
115.,RBC Group,0.05%
115.1.,    RosBusinessConsulting,0.02%
115.2.,    RU-Center,0.01%
115.3.,    SpaceWeb,0.01%
116.,Tilda,0.05%
117.,Radore,0.05%
118.,Viettel,0.05%
119.,InterServer,0.05%
120.,Ntirety,0.05%
121.,TierPoint,0.05%
122.,MiroHost,0.05%
123.,Premier DC,0.05%
124.,Gainet,0.05%
125.,Noris network,0.05%
126.,Accretive,0.05%
127.,Mail.Ru,0.05%
128.,ServerStack,0.05%
129.,Turkmentelecom,0.05%
130.,Cloudways,0.03%
131.,Faraso Samaneh Pasargad,0.03%
132.,Gandi,0.03%
133.,uKit Group,0.03%
133.1.,    uCoz,0.03%
134.,Flexential,0.03%
135.,ServerCentral,0.03%
136.,MojoHost,0.03%
137.,Internet Thailand,0.03%
138.,Swisscom Group,0.03%
138.1.,    Fastweb,0.02%
138.2.,    Swisscom,0.01%
139.,Grupo GTD,0.03%
139.1.,    Gtd Teleductos,0.03%
140.,True,0.03%
141.,Teléfonos de México,0.03%
142.,Gruppo TIM,0.03%
143.,WebNX,0.03%
144.,Voxility,0.03%
145.,Ning,0.03%
146.,Servebolt,0.03%
147.,Telecom Egypt,0.03%
148.,Atos Group,0.03%
148.1.,    Atos,0.03%
149.,Biglobe,0.03%
150.,RebelMouse,0.03%
151.,Maxihost,0.03%
152.,Apple,0.03%
153.,Weebly,0.02%
154.,Mihan,0.02%
155.,АО IoT,0.02%
156.,PrivateSystems,0.02%
157.,Duda,0.02%
158.,Xneelo,0.02%
159.,Tebyan,0.02%
160.,iomart Group,0.02%
160.1.,    iomart,0.02%
161.,One.com,0.02%
162.,Masterhost,0.02%
163.,Cogeco Group,0.02%
163.1.,    Aptum,0.02%
164.,Exabytes Group,0.02%
164.1.,    Exabytes,0.02%
165.,DGN Teknoloji,0.02%
166.,FastVPS,0.02%
167.,DHH,0.02%
167.1.,    Seeweb,0.01%
167.2.,    DHH Croatia,0.01%
168.,PS Internet Company,0.02%
169.,Cafe24,0.02%
170.,Netdirekt,0.02%
171.,Dinahosting,0.02%
172.,Confluence-Networks,0.02%
173.,Bezeq Group,0.02%
173.1.,    Bezeq,0.02%
174.,Enartia Group,0.02%
174.1.,    Top.Host,0.02%
175.,M247,0.02%
176.,Psychz,0.02%
177.,Hostwinds,0.02%
178.,VSHosting,0.02%
179.,Comcast,0.02%
180.,Romarg,0.02%
181.,Sharktech,0.02%
182.,KPN Group,0.02%
182.1.,    XS4ALL,0.01%
182.2.,    KPN Internedservices,0.01%
183.,Casablanca,0.02%
184.,PTisp,0.02%
185.,Colt,0.02%
186.,SH.cz,0.02%
187.,Eurofiber Group,0.02%
187.1.,    Avenir Télématique,0.02%
188.,Expedient,0.02%
189.,Kazakhtelecom Group,0.02%
189.1.,    Kazakhtelecom,0.02%
190.,NetSuite,0.02%
191.,A1 Telekom Austria Group,0.02%
191.1.,    Telekom Austria,0.01%
191.2.,    A1 Bulgaria,0.01%
192.,Telekomunikasi Indonesia,0.02%
193.,Irideos,0.02%
194.,Neterra,0.02%
195.,Fly,0.02%
196.,DEAC,0.02%
197.,Forthnet,0.02%
198.,Hewlett-Packard,0.02%
199.,Güzel Hosting,0.01%
200.,Aerotek,0.01%
201.,Dreamscape Networks,0.01%
202.,Prom.ua,0.01%
203.,Hoster.by,0.01%
204.,CS LoxInfo,0.01%
205.,Nexcess,0.01%
206.,Serverpars,0.01%
207.,20i,0.01%
208.,WPX Hosting,0.01%
209.,GreenWeb,0.01%
210.,Infomaniak,0.01%
211.,BanaHosting,0.01%
212.,Steadfast,0.01%
213.,Isimtescil,0.01%
214.,UpCloud,0.01%
215.,CAT Telecom,0.01%
216.,Beltelecom,0.01%
217.,DonWeb,0.01%
218.,Hostiserver,0.01%
219.,GreenGeeks,0.01%
220.,GloboTech,0.01%
221.,EuroByte,0.01%
222.,Web Werks,0.01%
223.,ColoCrossing,0.01%
224.,FirstVDS,0.01%
225.,CMC Telecom,0.01%
226.,Wildcard,0.01%
227.,YouCan.shop,0.01%
228.,Jimdo,0.01%
229.,Performive,0.01%
230.,Lightspeed,0.01%
231.,Cellcom,0.01%
232.,Master Internet,0.01%
233.,WorldStream,0.01%
234.,WebSupport,0.01%
235.,Tucows Group,0.01%
235.1.,    Tucows,0.01%
236.,Atman,0.01%
237.,SiteSell,0.01%
238.,EGIHosting,0.01%
239.,TheGigabit,0.01%
240.,GlobalConnect,0.01%
241.,VTEX,0.01%
242.,WPMU Dev,0.01%
243.,GleSYS,0.01%
244.,Tiggee,0.01%
245.,Serverius,0.01%
246.,Liberty Global Group,0.01%
246.1.,    Virgin Media,0.01%
247.,Profihost,0.01%
248.,Comvive,0.01%
249.,Webair,0.01%
250.,CEC,0.01%
251.,Nessus,0.01%
252.,IQ PL,0.01%
253.,Big Cartel,0.01%
254.,Cincinnati Bell Group,0.01%
254.1.,    CyrusOne,0.01%
255.,HopOne,0.01%
256.,New World Telecom,0.01%
257.,Alwaysdata,0.01%
258.,LightEdge,0.01%
259.,CITIC Group,0.01%
259.1.,    CITIC Telecom,0.01%
260.,Webglobe-Yegon,0.01%
261.,GorillaServers,0.01%
262.,Website Pro,0.01%
263.,Swan,0.01%
264.,SmugMug,0.01%
265.,Kamatera,0.01%
266.,Atlantic Metro,0.01%
267.,GTT,0.01%
268.,Telecom Algeria,0.01%
269.,OverBlog,0.01%
270.,Optimum,0.01%
271.,Universo Online,0.01%
272.,Advania,0.01%
273.,Deninet,0.01%
274.,Lancom,0.01%
275.,Datagroup,0.01%
276.,Prometey,0.01%
277.,WMaker,0.01%
278.,NetCologne,0.01%
279.,Core-Backbone,0.01%
280.,RackSRV,0.01%
281.,ElCat,0.01%
282.,XinNet,0.01%
283.,SK Communications,0.01%
